depth,vsh,phit,sw,perm
1970.0,0.2989,0.1915,0.6395,276.5561
1970.5,0.5445,0.1569,0.5457,333.6909
1971.0,0.3932,0.1723,0.6916,729.5047
1971.5,0.4732,0.1571,0.5693,73.6887
1972.0,0.5113,0.1511,0.5062,168.6365
1972.5,0.6704,0.112,0.2631,171.2011
1973.0,0.3846,0.1339,0.3073,44.6465
1973.5,0.3228,0.2223,0.9448,1212.4945
1974.0,0.6969,0.1288,0.6795,95.6579
1974.5,0.4505,0.1518,0.7485,157.3153
1975.0,0.3682,0.1554,0.936,598.7579
1975.5,0.5043,0.1744,0.4973,911.3834
1976.0,0.3985,0.1703,0.5322,283.6875
1976.5,0.4098,0.1486,0.3145,95.1628
1977.0,0.8361,0.1036,0.5366,133.2676
1977.5,0.3018,0.1864,0.4996,931.4088
1978.0,0.2343,0.1813,0.4904,468.8689
1978.5,0.6338,0.1526,0.7182,337.3688
1979.0,0.3931,0.2106,0.6447,1664.711
1979.5,0.4979,0.1458,0.7013,97.2181
1980.0,0.5457,0.1423,0.3817,106.8986
1980.5,0.1875,0.1786,0.5544,442.0439
1981.0,0.6211,0.1349,0.6191,34.6219
1981.5,0.3658,0.1325,0.8487,97.1153
1982.0,0.7348,0.145,0.5811,100.5002
1982.5,0.3306,0.1497,0.5371,222.6438
1983.0,0.6849,0.1135,0.7391,33.406
1983.5,0.712,0.1277,0.5317,144.9154
1984.0,0.3766,0.1978,0.6129,872.6645
1984.5,0.4215,0.1473,0.6287,172.5213
1985.0,0.4029,0.1631,0.4783,396.0726
1985.5,0.6779,0.1364,0.4633,206.1972
1986.0,0.4769,0.1436,0.5521,141.9117
1986.5,0.5299,0.1476,0.4903,191.5693
1987.0,0.4285,0.1316,0.3368,75.1592
1987.5,0.5208,0.1407,0.6662,95.7817
1988.0,0.5306,0.1746,0.63,1172.3061
1988.5,0.3605,0.1887,0.4273,505.9131
1989.0,0.7159,0.1166,0.4416,78.7117
1989.5,0.4194,0.1444,0.6298,161.9197
1990.0,0.6045,0.136,0.8227,174.9693
1990.5,0.2607,0.1563,0.7048,163.1273
1991.0,0.5526,0.1431,0.7371,121.0932
1991.5,0.6097,0.1313,0.516,227.4461
1992.0,0.4899,0.1464,0.618,64.6611
1992.5,0.6114,0.1365,0.5398,156.2295
1993.0,0.3439,0.1853,0.4312,300.4685
1993.5,0.5209,0.1305,0.5914,29.0366
1994.0,0.2219,0.2099,0.4001,986.2925
1994.5,0.4723,0.1802,0.4304,206.8362
1995.0,0.3311,0.2203,0.4594,554.0223
1995.5,0.4397,0.1679,0.4963,1965.1399
1996.0,0.6569,0.1628,0.5447,412.7105
1996.5,0.7107,0.1457,0.246,262.1944
1997.0,0.2576,0.1898,0.3985,577.5999
1997.5,0.6368,0.1116,0.8052,30.2678
1998.0,0.6599,0.1508,0.5526,181.9615
1998.5,0.4987,0.159,0.6349,200.0017
1999.0,0.6537,0.1695,0.6089,90.4136
1999.5,0.3878,0.1836,0.5246,1741.1528
2000.0,0.3729,0.1919,0.405,596.8663
2000.5,0.3736,0.1591,0.4681,144.4262
2001.0,0.5571,0.1514,0.8475,225.5354
2001.5,0.4354,0.1241,0.4846,37.5886
2002.0,0.3426,0.1859,0.7981,281.191
2002.5,0.3498,0.1982,0.4727,2183.2175
2003.0,0.4502,0.1884,0.491,402.7684
2003.5,0.3226,0.1703,0.5576,345.4144
2004.0,0.5503,0.1111,0.5434,73.1388
2004.5,0.6293,0.1262,0.423,91.6213
2005.0,0.5961,0.1398,0.5562,103.6408
2005.5,0.8867,0.1111,0.349,326.863
2006.0,0.5116,0.1119,0.6242,41.7077
2006.5,0.7043,0.1249,0.598,53.846
2007.0,0.4776,0.1362,0.669,191.3024
2007.5,0.4082,0.195,0.4617,285.1317
2008.0,0.4679,0.1115,0.6804,139.5989
2008.5,0.475,0.1776,0.6078,371.8699
2009.0,0.4315,0.1599,0.5694,286.4129
2009.5,0.2876,0.1411,0.8544,191.3413
2010.0,0.3031,0.2135,0.5994,913.3359
2010.5,0.62,0.1652,0.4786,571.1059
2011.0,0.5751,0.1691,0.777,529.5839
2011.5,0.7168,0.1272,0.6399,152.003
2012.0,0.3911,0.1549,0.8191,80.3627
2012.5,0.3771,0.1715,0.2674,284.2581
2013.0,0.2776,0.1943,0.4914,627.9279
2013.5,0.6084,0.1288,0.518,369.3422
2014.0,0.3162,0.1611,0.2665,102.1156
2014.5,0.4454,0.1711,0.5707,229.8426
2015.0,0.497,0.1583,0.4952,529.8518
2015.5,0.2155,0.2101,0.2304,548.6259
2016.0,0.5665,0.1757,0.429,257.528
2016.5,0.6015,0.1577,0.7591,785.097
2017.0,0.4915,0.1321,0.6977,156.5372
2017.5,0.437,0.1621,0.4427,503.6085
2018.0,0.4452,0.169,0.4355,555.2709
2018.5,0.66,0.1491,0.6837,210.7859
2019.0,0.458,0.1767,0.2487,444.5381
2019.5,0.447,0.1598,0.6393,483.1272
2020.0,0.347,0.1644,0.2737,165.4049
2020.5,0.0301,0.2362,0.7661,7154.1862
2021.0,0.6144,0.1464,0.6544,125.063
2021.5,0.4496,0.1663,0.2711,634.4125
2022.0,0.3187,0.1638,0.4916,414.8043
2022.5,0.7665,0.1608,0.5975,184.3064
2023.0,0.5159,0.1569,0.2535,337.007
2023.5,0.4191,0.1629,0.5425,311.5697
2024.0,0.6027,0.1454,0.6283,51.9266
2024.5,0.5052,0.1507,0.2437,191.4969
2025.0,0.5023,0.1279,0.675,45.7586
2025.5,0.3587,0.1786,0.5241,624.8131
2026.0,0.5544,0.1178,0.7046,74.2864
2026.5,0.591,0.144,0.5214,310.2855
2027.0,0.3595,0.1407,0.3994,95.3096
2027.5,0.1658,0.155,0.379,93.6751
2028.0,0.5925,0.154,0.5058,106.1028
2028.5,0.5443,0.1261,0.5355,415.9452
2029.0,0.5763,0.1526,0.7128,1737.9167
2029.5,0.4569,0.1631,0.5071,1140.941
2030.0,0.5944,0.1445,0.3224,59.1115
2030.5,0.3521,0.161,0.4812,104.4108
2031.0,0.422,0.1617,0.3209,131.9959
2031.5,0.293,0.1682,0.5994,563.2229
2032.0,0.6236,0.1566,0.6386,1026.3591
2032.5,0.443,0.1519,0.666,392.4854
2033.0,0.4848,0.151,0.5084,234.147
2033.5,0.515,0.1669,0.4425,168.1275
2034.0,0.4142,0.1529,0.4765,177.427
2034.5,0.5734,0.1085,0.5571,67.3734
2035.0,0.6987,0.1066,0.4952,110.5169
2035.5,0.597,0.1623,0.7908,198.6508
2036.0,0.1915,0.1964,0.4808,948.0467
2036.5,0.4665,0.1643,0.5332,357.8935
2037.0,0.4733,0.1634,0.4362,310.0239
