depth,vsh,phit,sw,perm,well,zone
1850.0,0.2547,0.1772,0.8507,395.5635,1,
1850.2,0.4692,0.1602,0.8179,223.639,1,A
1850.4,0.4026,0.1931,0.7074,153.9558,1,A
1850.6,0.4475,0.1289,0.4246,60.0326,1,A
1850.8,0.322,0.1525,0.6815,178.0598,1,A
1851.0,0.5819,0.1112,0.6657,42.4808,1,A
1851.2,0.5667,0.1293,0.6289,292.6282,1,A
1851.4,0.4599,0.1681,0.7345,293.4557,1,A
1851.6,0.6191,0.1488,0.65,469.576,1,A
1851.8,0.5201,0.1569,0.6625,251.7312,1,A
1852.0,0.3211,0.1494,0.65,201.128,1,A
1852.2,0.5053,0.1071,0.6225,57.3484,1,A
1852.4,0.3062,0.1807,0.2744,466.8896,1,A
1852.6,0.5818,0.1338,0.5733,417.7269,1,A
1852.8,0.4425,0.1708,0.4625,71.3562,1,A
1853.0,0.4223,0.1783,0.3509,109.428,1,A
1853.2,0.3479,0.1768,0.7958,287.8827,1,A
1853.4,0.6334,0.1516,0.813,210.6272,1,A
1853.6,0.4268,0.1682,0.7508,532.0571,1,A
1853.8,0.3858,0.1797,0.5806,628.2209,1,A
1854.0,0.3972,0.1535,0.7554,168.4502,1,A
1854.2,0.5298,0.1465,0.5575,365.8724,1,A
1854.4,0.5048,0.1573,0.5817,497.3423,1,A
1854.6,0.5119,0.1688,0.3827,381.3106,1,A
1854.8,0.5146,0.1442,0.6161,330.4733,1,A
1855.0,0.7712,0.1286,0.5719,133.4192,1,A
1855.2,0.389,0.1633,0.3535,195.6672,1,A
1855.4,0.3732,0.1684,0.5392,537.086,1,A
1855.6,0.3279,0.1933,0.525,712.5591,1,A
1855.8,0.5424,0.1085,0.8405,63.52,1,A
1856.0,0.6193,0.1123,0.7034,194.8448,1,A
1856.2,0.4329,0.1332,0.5627,23.0828,1,A
1856.4,0.324,0.1306,0.5993,43.7974,1,A
1856.6,0.3263,0.1634,0.5555,127.1136,1,A
1856.8,0.5476,0.1627,0.5187,220.549,1,A
1857.0,0.5615,0.1402,0.3958,127.5993,1,A
1857.2,0.5315,0.1538,0.5301,78.2381,1,A
1857.4,0.3502,0.1956,0.4241,355.7869,1,A
1857.6,0.4848,0.1826,0.3537,270.6641,1,A
1857.8,0.4675,0.1569,0.6282,1318.5894,1,A
1858.0,0.4828,0.1833,0.5996,1740.2947,1,A
1858.2,0.5807,0.1452,0.2882,131.442,1,A
1858.4,0.4835,0.1394,0.5401,115.8839,1,A
1858.6,0.5518,0.1353,0.7095,60.0444,1,A
1858.8,0.4601,0.1297,0.7213,30.4351,1,A
1859.0,0.4934,0.1371,0.7133,128.9107,1,A
