zone,vsh_cutoff,net_thickness
A,0.3,110.19999999999891
B,0.3,607.7999999999986
C,0.3,416.5000000000016
D,0.3,4.199999999998454
E,0.3,265.49999999999955
A,0.35,180.80000000000223
B,0.35,670.3999999999985
C,0.35,561.2000000000091
D,0.35,8.399999999998272
E,0.35,343.3000000000002
A,0.39999999999999997,270.40000000000464
B,0.39999999999999997,697.4999999999982
C,0.39999999999999997,694.000000000013
D,0.39999999999999997,17.09999999999991
E,0.39999999999999997,430.29999999999836
A,0.44999999999999996,367.50000000000364
B,0.44999999999999996,707.299999999999
C,0.44999999999999996,821.9999999999986
D,0.44999999999999996,31.800000000000637
E,0.44999999999999996,507.7999999999952
A,0.49999999999999994,464.30000000000496
B,0.49999999999999994,711.8999999999999
C,0.49999999999999994,915.000000000002
D,0.49999999999999994,52.89999999999918
E,0.49999999999999994,586.4000000000001
A,0.5499999999999999,545.8000000000025
B,0.5499999999999999,712.0999999999997
C,0.5499999999999999,965.6000000000065
D,0.5499999999999999,84.90000000000146
E,0.5499999999999999,646.0000000000014
A,0.5999999999999999,610.8000000000052
B,0.5999999999999999,712.0999999999997
C,0.5999999999999999,1001.8000000000102
D,0.5999999999999999,110.60000000000264
E,0.5999999999999999,689.0000000000027
A,0.6499999999999999,659.4000000000035
B,0.6499999999999999,712.0999999999997
C,0.6499999999999999,1020.3000000000086
D,0.6499999999999999,132.30000000000564
E,0.6499999999999999,720.4000000000037
A,0.7,693.2000000000023
B,0.7,712.0999999999997
C,0.7,1030.7000000000073
D,0.7,147.70000000000664
E,0.7,742.5000000000018
